Name of Movies,Year of release,Certificates,Duration of movie,Genre,Star,Metascore,Votes
Zack Snyder's Justice League,2021,R,242 min,"Action, Adventure, Fantasy",8.1,54        ,"306,300"
Aspirants,2021– ,not rated,45 min,Drama,9.2,nil,"271,868"
WandaVision,2021,TV-PG,350 min,"Action, Comedy, Drama",8.1,nil,"185,659"
Radhe,2021,TV-MA,135 min,"Action, Crime, Thriller",1.8,nil,"163,440"
Godzilla vs. Kong,2021,PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59        ,"145,698"
Army of the Dead,2021,R,148 min,"Action, Crime, Horror",5.8,57        ,"121,554"
The Falcon and the Winter Soldier,2021,TV-14,50 min,"Action, Adventure, Drama",7.4,nil,"118,084"
Mortal Kombat,2021,R,110 min,"Action, Adventure, Fantasy",6.2,44        ,"117,203"
Nobody,I 2021,R,92 min,"Action, Crime, Drama",7.4,64        ,"109,680"
Raya and the Last Dragon,2021,PG,107 min,"Animation, Action, Adventure",7.4,75        ,"85,601"
Cruella,2021,PG-13,134 min,"Comedy, Crime",7.4,59        ,"77,024"
Lupin,2021– ,TV-MA,45 min,"Action, Crime, Drama",7.5,nil,"74,628"
Invincible,2021– ,TV-MA,364 min,"Animation, Action, Adventure",8.8,nil,"68,953"
Wrath of Man,2021,R,119 min,"Action, Crime, Thriller",7.2,57        ,"64,529"
The Little Things,2021,R,128 min,"Crime, Drama, Thriller",6.3,54        ,"63,785"
Mare of Easttown,2021,TV-MA,410 min,"Crime, Drama, Mystery",8.5,nil,"62,267"
The Mitchells vs the Machines,2021,PG,113 min,"Animation, Adventure, Comedy",7.7,80        ,"62,004"
Master,2021,Not Rated,179 min,"Action, Thriller",7.9,nil,"60,158"
Coming 2 America,2021,PG-13,110 min,Comedy,5.3,52        ,"58,394"
The Dig,2021,PG-13,112 min,"Biography, Drama, History",7.1,73        ,"57,996"
Tandav,2021– ,TV-14,30 min,"Drama, Thriller",3.7,nil,"55,376"
Shadow and Bone,2021– ,TV-14,nil,"Action, Adventure, Drama",7.8,nil,"55,316"
The Conjuring: The Devil Made Me Do It,2021,R,112 min,"Horror, Mystery, Thriller",6.4,53        ,"54,394"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,nil,"54,311"
Judas and the Black Messiah,2021,R,126 min,"Biography, Drama, History",7.5,85        ,"51,715"
The Woman in the Window,2021,R,100 min,"Crime, Drama, Mystery",5.7,41        ,"51,703"
The White Tiger,2021,R,125 min,"Crime, Drama",7.1,76        ,"50,426"
Loki,2021– ,TV-14,nil,"Action, Adventure, Fantasy",8.9,nil,"47,939"
Friends: The Reunion,2021 TV Special,TV-14,104 min,"Comedy, Romance",8.1,nil,"45,670"
Behind Her Eyes,2021,TV-MA,298 min,"Drama, Mystery, Thriller",7.2,nil,"45,326"
Tom Clancy's Without Remorse,2021,R,109 min,"Action, Thriller, War",5.8,41        ,"42,248"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,nil,"39,836"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.9,nil,"38,151"
Outside the Wire,2021,R,114 min,"Action, Adventure, Fantasy",5.4,45        ,"36,357"
Luca,2021,PG,95 min,"Animation, Adventure, Comedy",7.6,71        ,"35,958"
Stowaway,2021,TV-MA,116 min,"Drama, Sci-Fi, Thriller",5.6,63        ,"34,885"
Thunder Force,2021,PG-13,106 min,"Action, Adventure, Comedy",4.4,34        ,"34,308"
Those Who Wish Me Dead,2021,R,100 min,"Action, Drama, Thriller",6.0,59        ,"33,909"
Ginny & Georgia,2021– ,TV-14,nil,"Comedy, Drama",7.5,nil,"33,578"
Boss Level,2021,TV-MA,94 min,"Action, Mystery, Sci-Fi",6.9,56        ,"32,398"
The Serpent,2021,TV-MA,458 min,"Crime, Drama, Thriller",7.7,nil,"31,239"
Jupiter's Legacy,2021,TV-MA,56 min,"Action, Adventure, Drama",6.8,nil,"29,728"
Fate: The Winx Saga,2021– ,TV-MA,nil,"Action, Adventure, Drama",6.9,nil,"29,595"
Malcolm & Marie,2021,R,106 min,"Drama, Romance",6.7,53        ,"29,235"
The Mauritanian,2021,R,129 min,"Drama, Thriller",7.4,53        ,"28,537"
Drishyam 2,2021,not rated,152 min,"Crime, Drama, Thriller",8.7,nil,"27,551"
Palmer,2021,R,110 min,Drama,7.3,53        ,"25,786"
Sweet Tooth,2021– ,TV-14,nil,"Action, Adventure, Drama",8.0,nil,"25,313"
Tom and Jerry,2021,PG,101 min,"Animation, Comedy, Family",5.3,32        ,"24,901"
Oxygen,2021,TV-14,100 min,"Drama, Fantasy, Sci-Fi",6.5,67        ,"24,818"
Chaos Walking,2021,PG-13,109 min,"Action, Adventure, Fantasy",5.7,38        ,"24,256"
Spiral,2021,R,93 min,"Crime, Horror, Mystery",5.3,40        ,"24,107"
Seaspiracy,2021,TV-MA,89 min,"Documentary, Adventure",8.2,nil,"23,939"
 Attack on Titan,2013–2021,TV-MA,24 min,"Animation, Action, Adventure",9.6,nil,"23,732"
Racket Boys,2021– ,not rated,80 min,"Comedy, Drama, Sport",1.0,nil,"23,446"
